Date,Genotype,"Week 1 set or week 2 set? (generation time is 2 weeks, so sets were staggered to have flies out each week)",Wing clipping pattern was matched within treatment or mismatched,Plate # within a batch,"Three-way mating pattern (FC = female CMY chooser, MS = male starch chooser, etc).",Assay start time,AM or PM?,Order,well possition,Copulation initiation time,Copulation end time,Male wing clip,Female wing clip,Mating pattern,Male diet treatment,Female diet treatment,Type of mating pattern,Binary assortative/disassortative,Loder,Loader,Data recorder,Copulation latency,Latency as integer,Copulation duration,Duration as integer
5/7/14,Canton s,2,matched,1,FC,9:13:00,am,10,,9:46,10:05,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:33:00,0:19:00,33,19
5/7/14,Canton s,2,matched,1,FC,9:13:00,am,11,,9:47,10:03,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:34:00,0:16:00,34,16
5/7/14,Canton s,2,matched,1,FC,9:13:00,am,12,,10:00,10:17,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:47:00,0:17:00,47,17
5/7/14,Canton s,2,matched,1,FC,9:13:00,am,14,,10:10,10:30,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:57:00,0:20:00,57,20
5/7/14,Canton s,2,matched,2,FC,9:20:00,am,2,,9:32,9:56,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:12:00,0:24:00,12,24
5/7/14,Canton s,2,matched,2,FC,9:20:00,am,3,,9:36,9:54,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:16:00,0:18:00,16,18
5/7/14,Canton s,2,matched,2,FC,9:20:00,am,4,,9:36,9:56,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:16:00,0:20:00,16,20
5/7/14,Canton s,2,matched,2,FC,9:20:00,am,5,,9:36,9:56,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:16:00,0:20:00,16,20
5/7/14,Canton s,2,matched,2,FC,9:20:00,am,6,,9:36,9:59,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:16:00,0:23:00,16,23
5/7/14,Canton s,2,matched,2,FC,9:20:00,am,11,,9:45,10:05,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:25:00,0:20:00,25,20
5/7/14,Canton s,2,matched,2,FC,9:20:00,am,13,,9:52,10:11,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:32:00,0:19:00,32,19
5/7/14,Canton s,2,matched,2,FC,9:20:00,am,14,,9:53,10:11,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:33:00,0:18:00,33,18
5/7/14,Canton s,2,matched,2,FC,9:20:00,am,17,,10:09,10:28,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:49:00,0:19:00,49,19
5/7/14,Canton s,2,matched,1,FC,9:13:00,am,3,,9:31,9:47,R,L,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:18:00,0:16:00,18,16
5/7/14,Canton s,2,matched,1,FC,9:13:00,am,8,,9:44,10:02,R,L,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:31:00,0:18:00,31,18
5/7/14,Canton s,2,matched,1,FC,9:13:00,am,13,,10:01,10:24,R,L,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:48:00,0:23:00,48,23
5/7/14,Canton s,2,matched,2,FC,9:20:00,am,1,,9:30,9:45,R,L,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:10:00,0:15:00,10,15
5/7/14,Canton s,2,matched,2,FC,9:20:00,am,7,,9:36,9:59,R,L,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:16:00,0:23:00,16,23
5/7/14,Canton s,2,matched,2,FC,9:20:00,am,8,,9:42,10:00,R,L,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:22:00,0:18:00,22,18
5/7/14,Canton s,2,matched,2,FC,9:20:00,am,9,,9:43,10:03,R,L,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:23:00,0:20:00,23,20
5/7/14,Canton s,2,matched,2,FC,9:20:00,am,10,,9:45,9:59,R,L,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:25:00,0:14:00,25,14
5/7/14,Canton s,2,matched,2,FC,9:20:00,am,12,,9:49,10:09,R,L,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:29:00,0:20:00,29,20
5/7/14,Canton s,2,matched,2,FC,9:20:00,am,15,,9:54,10:14,R,L,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:34:00,0:20:00,34,20
5/7/14,Canton s,2,matched,2,FC,9:20:00,am,16,,10:07,10:26,R,L,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:47:00,0:19:00,47,19
5/15/14,Canton s,2,matched,1,FC,9:06:00,am,3,,9:24,9:46,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:18:00,0:22:00,18,22
