date,genotype,Number of males held together before assay,Wing clipping pattern was matched within treatment or mismatched,"Week 1 set or week 2 set? (generation time is 2 weeks, so sets were staggered to have flies out each week)",Plate # within a batch,Assay start time,AM or PM?,Order of mating within a plate,Well position,Copulation initiation time (first pair to mate),Copulation end time (first pair to mate),Male wing clip  (first pair to mate),Female wing clip (first pair to mate),Mating pattern (first pair to mate),Treatment of first female to mate,Treatment of first male to mate,"Diet treatment of first mating pair, (female x male)",Binary: assortative or no?,Loader,Loader,Data recorder,Copulation latency,Latency as integer,Copulation duration,Duration as integer
3/22/13,allRAL,10,matched,1,1,10:18:00,am,1,D5,10:21:00,NA,R,L,disassortative,CMY,Starch,CxS,0,Michael and Mike,NA,Michael & Robbie,0:03:00,3.00,#VALUE!,#VALUE!
3/22/13,allRAL,10,matched,1,1,10:18:00,am,9,A5,10:28:00,NA,R,L,disassortative,CMY,Starch,CxS,0,Michael and Mike,NA,Michael & Robbie,0:10:00,10.00,#VALUE!,#VALUE!
3/22/13,allRAL,10,matched,1,1,10:18:00,am,15,D6,10:35:00,NA,R,L,disassortative,CMY,Starch,CxS,0,Michael and Mike,NA,Michael & Robbie,0:17:00,17.00,#VALUE!,#VALUE!
3/22/13,allRAL,10,matched,1,1,10:18:00,am,19,B2,10:42:00,NA,R,L,disassortative,CMY,Starch,CxS,0,Michael and Mike,NA,Michael & Robbie,0:24:00,24.00,#VALUE!,#VALUE!
3/22/13,allRAL,10,matched,1,1,10:18:00,am,20,A2,10:42:00,NA,R,L,disassortative,CMY,Starch,CxS,0,Michael and Mike,NA,Michael & Robbie,0:24:00,24.00,#VALUE!,#VALUE!
3/22/13,allRAL,10,matched,1,1,10:18:00,am,5,C5,10:26:00,NA,L,R,disassortative,Starch,CMY,SxC,0,Michael and Mike,NA,Michael & Robbie,0:08:00,8.00,#VALUE!,#VALUE!
3/22/13,allRAL,10,matched,1,1,10:18:00,am,12,C3,10:32:00,NA,L,R,disassortative,Starch,CMY,SxC,0,Michael and Mike,NA,Michael & Robbie,0:14:00,14.00,#VALUE!,#VALUE!
3/22/13,allRAL,10,matched,1,1,10:18:00,am,13,D3,10:33:00,NA,L,R,disassortative,Starch,CMY,SxC,0,Michael and Mike,NA,Michael & Robbie,0:15:00,15.00,#VALUE!,#VALUE!
3/22/13,allRAL,10,matched,1,1,10:18:00,am,18,D4,10:39:00,NA,L,R,disassortative,Starch,CMY,SxC,0,Michael and Mike,NA,Michael & Robbie,0:21:00,21.00,#VALUE!,#VALUE!
3/22/13,allRAL,10,matched,1,1,10:18:00,am,2,A6,10:23:00,NA,R,R,assortative,Starch,Starch,Starch,1,Michael and Mike,NA,Michael & Robbie,0:05:00,5.00,#VALUE!,#VALUE!
3/22/13,allRAL,10,matched,1,1,10:18:00,am,3,B1,10:25:00,NA,R,R,assortative,Starch,Starch,Starch,1,Michael and Mike,NA,Michael & Robbie,0:07:00,7.00,#VALUE!,#VALUE!
3/22/13,allRAL,10,matched,1,1,10:18:00,am,10,C2,10:29:00,NA,R,R,assortative,Starch,Starch,Starch,1,Michael and Mike,NA,Michael & Robbie,0:11:00,11.00,#VALUE!,#VALUE!
3/22/13,allRAL,10,matched,1,1,10:18:00,am,14,A4,10:35:00,NA,R,R,assortative,Starch,Starch,Starch,1,Michael and Mike,NA,Michael & Robbie,0:17:00,17.00,#VALUE!,#VALUE!
3/22/13,allRAL,10,matched,1,1,10:18:00,am,21,B4,10:44:00,NA,R,R,assortative,Starch,Starch,Starch,1,Michael and Mike,NA,Michael & Robbie,0:26:00,26.00,#VALUE!,#VALUE!
3/22/13,allRAL,10,matched,1,3,15:06:00,pm,2,D6,15:14:00,NA,L,L,assortative,CMY,CMY,CMY,1, Michael and Ali,NA,Michael,0:08:00,8.00,#VALUE!,#VALUE!
